"Código del artículo","Título","DOI o URL","Autor principal","Año de la publicación","Región geográfica  del estudio","Sitio del estudio (País, ciudad o ubicación geográfica)","Tipo de estudio","Grupo especifico poblacional","Periodos de estudio(Fechas)","Tiempo de duración del estudio","Fuente de información del incendio","Año/Periodo del incendio","Localización del incendio","Tipo de vegetación de la quema","Estacionalidad","Intensidad","Extensión (Área quemada)","Clasificación del area de extensión","Numero de incendios","Duración","Distancia al lugar de estudio","Metodología empleada para determinar la trayectoria del incendio","Métodos para establecer el transporte del contamiante","Metodología para establecer la relación entre el incendio contam","Contaminante medido(PM2,5 o  black carbon)","Nivel de exposición (Individual o poblacional)","Unidad de tiempo de medición de la exposición","Forma para establecer la exposición: Técnica de medición (Selecc","¿Cúal?","Tipo de modelación empleada (solo para las aproximaciones por mo","Técnica en función del sitio (en el caso de que sea modelación)","Fuente de información de la exposición (en caso de datos secunda","Concentración estudiada del contaminate","Unidad de análisis","Co-variables de ajuste de la exposición mod","Tamaño de la unidad de análisis","Tipo de evento (Seleccione la opción)","Identificación de casos del evento (morbilidad)","Unidad de tiempo de medición del evento","Fuentes de 0ormación en salud","Tipo de fuente de información en salud (Seleccione la opción )","Método estadístico de análsis usado para establecer la relacion","Edades-Grupos etarios","Evento en salud","Clasificación CIE (Si lo hay)","Código de la CIE (Si lo hay)","Tipo de medida de asociación epidemiologica","Otro (Tipo de medida de asociación epidemiologica)","Co-variables de ajuste","Resultados ajustados","Intervalo de confianza inicio","Intervalo de confianza final","Caracteristicas adicionales del resultado","Temporalidad del rezago","Rezago puntual","Períodos de rezago acumulado","Observaciones"
"PM OCE 010","","https://doi.org/10.1016/j.joclim.2022.100113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Enfermedad respiratoria","CIE-10","S.I","Análisis de correlación: P","NA","S.I","0.278","0,23","0.5","Período 2; Urgencias; p=0,033","Día","3","NA",""
"PM MUL 004","Mortality risk attributable to wildfire-related PM2·5 pollution: a global time series study in 749 locations","https://doi.org/10.1016/S2542-5196(21)00200-X","Chen, Gongbo","2021","MUL","43 regiones o zonas, 749 ciudades","Ecológico series de tiempo","NA","2000- 2016","16 años","S.I","S.I","S.I","S.I","S.I","S.I","S.I","S.I","S.I","S.I","S.I","S.I","S.I","No se especifica. El estudio asume que el contaminate se asocia al incendio","PM2.5","Poblacional","Diaria","Modelación","NA","Modelo tridimensional de transporte químico GEOS-Chem (versión 12.0.0) y un inventario de quema de biomasa de la Base de datos global de emisiones de incendios (GFED; versión 4.1)","El inventarios de quema de biomasa estimó las emisiones en función de la recuperación satelital del área de quema y la información de incendios activos","NA","10 μg/m 3","Muertes por todas las causas, Muertes cardiovasculares, Muertes respirtatorias","Temperatura, precipitación, velocidad del viento y día de la semana","65,6 millones , 15,1 millones,  6,8 millones","Mortalidad","NA","Diaria","MCC Collaborative Research Network","Secundaria","Etapa 1 regresión cuasi-Poisson para asociación específica de la ciudad con  promedios móviles de temperatura y humedad relativa. Etapa 2 Metanálisis de efectos aleatorios para estimaciones nacionales y mundiales","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.040","1.017","1.063","Argentina","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.002","0.991","1.012","Australia","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.011","0.998","1.024","Brasil","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","0.992","0.978","1.007","Canadá","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.033","1.010","1.056","Chile","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.030","1.005","1.055","China","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.028","1.011","1.046","Colombia","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.069","1.032","1.106","Costa Rica","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.073","1.009","1.142","República Checa","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.010","0.935","1.091","Ecuador","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","0.995","0.955","1.036","Estonia","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.001","0.997","1.005","Finlandia","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.253","1.079","1.455","Francia","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.126","1.068","1.188","Alemania","Día","NA","0-2",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.03","0.95","1.12","Muertes en lugar no clínico","Día","NA","0-1",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.99","0.88","1.12","Muertes en lugar no clínico","Día","NA","0-7",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75 y más (Hombres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","4.13","-1.82","10.44","Periodo Incendios","Hora","NA","0-12",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75 y más (Hombres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","4.65","-2.16","11.93","Periodo Incendios","Hora","NA","0-24",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.023","0.955","1.095","Reino Unido","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.019","1.008","1.029","Uruguay","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.010","1.001","1.020","USA","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad todas las causas","S.I","S.I","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","1.009","0.950","1.071","Vietnam","Día","NA","0-2",""
"PM MUL 004","","https://doi.org/10.1016/S2542-5196(21)00200-X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad Cardiovascular","CIE-10","I00-I99","RR","NA","Temperatura (promedios móviles), Humedad relativa, días de la semana","NA","","","Argentina","Día","NA","0-2",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.11","1.02","1.21","Muertes en lugar no clínico","Día","NA","0-14",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.13","1.03","1.25","Muertes en lugar no clínico","Día","NA","0-30",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.06","1.00","1.13","Muertes en lugar clínico","Día","0","NA",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.07","1.01","1.14","Muertes en lugar clínico","Día","NA","0-1",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.13","1.04","1.21","Muertes en lugar clínico","Día","NA","0-7",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.15","1.06","1.24","Muertes en lugar clínico","Día","NA","0-14",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por otras causas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.20","1.10","1.31","Muertes en lugar clínico","Día","NA","0-30",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75 y más (Hombres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","9.41","1.00","18.53","Periodo Incendios","Hora","NA","0-48",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Disritmia","CIE-9","426-427","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.04 ","1.02","1.07","Densidad del humo: luz","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Disritmia","CIE-9","426-427","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06 ","1.01","1.11","Densidad del humo: medio","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Disritmia","CIE-9","426-427","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.04","0.97","1.13","Densidad del humo: denso","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.01","0.98","1.04","Densidad del humo: luz","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06 ","1.01","1.12","Densidad del humo: medio","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.09","1.00","1.19","Densidad del humo: denso","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.03","1.00","1.06","Densidad del humo: luz","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06 ","1.01","1.12","Densidad del humo: medio","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.09","0.99","1.19","Densidad del humo: denso","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.04 ","1.01","1.08","Densidad del humo: luz","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.01","0.96","1.06","Densidad del humo: medio","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.10 ","1.01","1.20","Densidad del humo: denso","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06 ","1.03","1.09","Densidad del humo: luz","Día","3","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.05","1.00","1.10","Densidad del humo: medio","Día","3","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.13 ","1.04","1.24","Densidad del humo: denso","Día","3","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.03","1.00","1.06","Densidad del humo: luz","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.08 ","1.02","1.13","Densidad del humo: medio","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Insuficiencia cardíaca congestiva","CIE-9","428","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.08","0.99","1.18","Densidad del humo: denso","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.04","0.91","1.19","Densidad del humo: luz","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","0.98","0.77","1.24","Densidad del humo: medio","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.11","0.74","1.65","Densidad del humo: denso","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.11","0.98","1.27","Densidad del humo: luz","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06","0.84","1.35","Densidad del humo: medio","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","0.93","0.60","1.45","Densidad del humo: denso","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.13","0.99","1.29","Densidad del humo: luz","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06","0.83","1.34","Densidad del humo: medio","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.43","1.00","2.05","Densidad del humo: denso","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.09","0.95","1.24","Densidad del humo: luz","Día","3","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.21","0.97","1.51","Densidad del humo: medio","Día","3","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.33","0.93","1.92","Densidad del humo: denso","Día","3","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.00","0.87","1.14","Densidad del humo: luz","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.07","0.85","1.34","Densidad del humo: medio","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Embolia pulmonar","CIE-9","415","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.02","0.68","1.52","Densidad del humo: denso","Día","4","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.05","1.00","1.11","Densidad del humo: luz","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.07","0.97","1.18","Densidad del humo: medio","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.12","0.95","1.32","Densidad del humo: denso","Día","0","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.09 ","1.03","1.15","Densidad del humo: luz","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.17 ","1.06","1.28","Densidad del humo: medio","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.07","0.90","1.27","Densidad del humo: denso","Día","1","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.05","0.99","1.11","Densidad del humo: luz","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.08","0.98","1.19","Densidad del humo: medio","Día","2","",""
"PM AME 022","","10.1161/JAHA.117.007492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",">19","Cerebrovascular por todas las causas","CIE-9","430-436","RR","","índice de calor; día de la semana; tendencia temporal; compensación logarítmica de población","1.06","0.90","1.26","Densidad del humo: denso","Día","2","",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64 (Mujeres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","1.00","-5.27","7.67","Periodo Incendios","Hora","0","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64 (Mujeres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","-1.04","-7.83","6.24","Periodo Incendios","Hora","1","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64 (Mujeres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","-1.32","-8.67","6.61","Periodo Incendios","Hora","2","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64 (Mujeres)","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.11","-6.46","7.15","Periodo Incendios","Hora","NA","0-2",""
